"Flour, white, all purpose, per lb. (453.6 gm)",0.527
"Rice, white, long grain, uncooked, per lb. (453.6 gm)",0.758
"Spaghetti and macaroni, per lb. (453.6 gm)",1.324
"Bread, white, pan, per lb. (453.6 gm)",1.413
"Bread, whole wheat, pan, per lb. (453.6 gm)",2.02
"Cookies, chocolate chip, per lb. (453.6 gm)",3.456
"Ground chuck, 100% beef, per lb. (453.6 gm)",3.917
"Ground beef, 100% beef, per lb. (453.6 gm)",3.884
"Ground beef, lean and extra lean, per lb. (453.6 gm)",5.408
"All uncooked ground beef, per lb. (453.6 gm)",4.224
"Chuck roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)",4.72
"Chuck roast, USDA Choice, boneless, per lb. (453.6 gm)",5.133
"Round roast, USDA Choice, boneless, per lb. (453.6 gm)",5.187
"Round roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)",5.178
"All Uncooked Beef Roasts, per lb. (453.6 gm)",5.366
"Steak, round, USDA Choice, boneless, per lb. (453.6 gm)",5.577
"Steak, round, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)",5.434
"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm)",7.87
"Beef for stew, boneless, per lb. (453.6 gm)",5.155
"All Uncooked Beef Steaks, per lb. (453.6 gm)",7.001
"All Uncooked Other Beef (Excluding Veal), per lb. (453.6 gm)",4.337
"Bacon, sliced, per lb. (453.6 gm)",6.009
"Chops, center cut, bone-in, per lb. (453.6 gm)",4.27
"Chops, boneless, per lb. (453.6 gm)",4.387
"All Pork Chops, per lb. (453.6 gm)",4.005
"Ham, rump or shank half, bone-in, smoked, per lb. (453.6 gm)",2.43
"Ham, boneless, excluding canned, per lb. (453.6 gm)",4.371
"All Ham (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)",3.125
"All Other Pork (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)",3.102
"Bologna, all beef or mixed, per lb. (453.6 gm)",2.88
"Chicken, fresh, whole, per lb. (453.6 gm)",1.495
"Chicken breast, boneless, per lb. (453.6 gm)",3.444
"Chicken legs, bone-in, per lb. (453.6 gm)",1.553
"Turkey, frozen, whole, per lb. (453.6 gm)",1.641
"Eggs, grade A, large, per doz.",1.95
"Milk, fresh, whole, fortified, per gal. (3.8 lit)",3.645
"American processed cheese, per lb. (453.6 gm)",4.426
"Cheddar cheese, natural, per lb. (453.6 gm)",5.56
"Ice cream, prepackaged, bulk, regular, per 1/2 gal. (1.9 lit)",4.719
"Apples, Red Delicious, per lb. (453.6 gm)",1.391
"Bananas, per lb. (453.6 gm)",0.606
"Oranges, Navel, per lb. (453.6 gm)",1.39
"Grapefruit, per lb. (453.6 gm)",1.128
"Grapes, Thompson Seedless, per lb. (453.6 gm)",2.356
"Lemons, per lb. (453.6 gm)",2.078
"Peaches, per lb. (453.6 gm)",1.971
"Strawberries, dry pint, per 12 oz. (340.2 gm)",1.868
"Potatoes, white, per lb. (453.6 gm)",0.696
"Lettuce, iceberg, per lb. (453.6 gm)",1.108
"Lettuce, romaine, per lb. (453.6 gm)",1.756
"Tomatoes, field grown, per lb. (453.6 gm)",1.633
"Broccoli, per lb. (453.6 gm)",1.808
"Peppers, sweet, per lb. (453.6 gm)",2.718
"Orange juice, frozen concentrate, 12 oz. can, per 16 oz. (473.2 ml)",2.547
"Beans, dried, any type, all sizes, per lb. (453.6 gm)",1.477
"Sugar, white, all sizes, per lb. (453.6 gm)",0.596
"Sugar, white, 33-80 oz. pkg, per lb. (453.6 gm)",0.604
"Margarine, soft, tubs, per lb. (453.6 gm)",2.066
"Peanut butter, creamy, all sizes, per lb. (453.6 gm)",2.401
"Coffee, 100%, ground roast, all sizes, per lb. (453.6 gm)",5.099
"Potato chips, per 16 oz.",4.308