state,benefits_2013,benefits_2014,households_2013,households_2014,participants_2013,participants_2014
Alabama,117369959,109206721,421921,418029,914462,898301
Alaska,16258081,15079182,39398,38424,94514,91351
Arizona,135671507,120561581,473117,445131,1102305,1024764
Arkansas,60239625,54814113,222652,220290,499603,488404
California,636111028,618266369,1915130,2038610,4169854,4362874
Colorado,69099970,64318286,232963,237405,510441,509949
Connecticut,58580783,59027725,234209,244294,426863,439405
Delaware,19630624,18223149,72523,71201,153339,149362
District of Columbia,19485598,18265489,81617,79568,144200,141209
Florida,491337245,446299143,1948578,1909113,3556098,3487797
Georgia,265165648,234768478,910852,856636,1950577,1847395
Guam,9927767,8849904,15188,15432,45324,47403
Hawaii,41238290,43631158,96558,99320,189647,193933
Idaho,29084702,24329090,98314,89166,228311,210450
Illinois,283585577,267948680,1025575,1025636,2048898,2020820
Indiana,121725878,108117024,416540,400556,926574,882724
Iowa,48840024,43981547,198843,192638,420914,406150
Kansas,39467452,31611643,149766,128115,317892,286915
Kentucky,111510978,96824304,422704,396523,875644,822231
Louisiana,118614682,105767398,413505,391116,914196,866941
Maine,30603130,26743961,131042,120782,249920,228069
Maryland,98840827,94180263,396443,403554,776725,785557
Massachusetts,116362415,105554772,497352,486807,885701,857127
Michigan,242425762,214691865,909168,873956,1768141,1681322
Minnesota,64635104,54654506,276333,254880,556621,527228
Mississippi,82160538,75653090,303008,299694,664219,650853
Missouri,120345394,100771282,437079,399844,927925,848469
Montana,16251343,14653160,59691,59358,129797,125315
Nebraska,22377710,19648885,80434,75731,181796,170160
Nevada,44770113,45302279,175120,192062,360207,388284
New Hampshire,13368881,11629873,55332,53509,116319,111375
New Jersey,113944780,106584515,433734,435799,877752,872510
New Mexico,56587820,51996014,198814,191663,442570,422301
New York,461679940,424668075,1720229,1688619,3183287,3101888
North Carolina,205998463,197568630,773042,708076,1721681,1467250
North Dakota,7090200,6317017,25993,25206,56136,54159
Ohio,242850135,213076599,893965,841476,1830161,1735294
Oklahoma,79430226,70436911,286552,274718,618624,598483
Oregon,104243941,96966088,451771,450575,816010,802312
Pennsylvania,227637965,214683910,871026,893127,1784566,1799956
Rhode Island,25072863,23267053,101096,101119,180546,178110
South Carolina,114182248,99311086,415819,386862,872313,818094
South Dakota,13806538,12363279,45310,43902,104135,100646
Tennessee,177881450,161352600,667327,647064,1351113,1305837
Texas,489563908,437502623,1658553,1591707,4007194,3810926
Utah,31086283,26392133,99006,90912,248821,229970
Vermont,12564887,10414049,52606,46683,100607,89832
Virginia,120367985,107606923,457805,440967,942648,913672
Virgin Islands,4783791,4537726,12082,12402,27673,27595
Washington,140227604,128809326,592696,586774,1112751,1103493
West Virginia,40957458,39902971,166442,177426,349169,362759
Wisconsin,100956366,93787875,419948,423178,861950,842345
Wyoming,4810763,4049805,16249,15153,38492,35485